,LinearRegression,DecisionTree,RandomForest,XGBoost,LightGBM,CatBoost
MAPE,19.4752178142167,14.282686028623681,12.369978380475919,13.37394863998211,15.38740844736319,12.879001755055272
RMSE,50029.740945337195,43070.10663829541,31538.40745637626,34106.210328006506,35169.57167910277,31694.869858839324
MAE,35544.800282435164,25720.62801932367,21438.046273752014,22250.442198822464,25478.635017569894,21922.118331641403
R^2,0.5672124017115103,0.6792473942133714,0.8280121297722776,0.7988661201887425,0.7861287254653077,0.8263014292612846
