NO,sigungu,beonji,bonbeon,bubeon,dangi,class,area,cntr_ym,cntr_d,deposit,m_rent,floor,built_y,road_nm,cntr_prd,cntr_cls ,renew,pre_deposit,pre_m_rent
1,서울특별시 용산구 후암동,423-1,423,1,후암미주,월세,62.28,202305,31,3,500,110,4,1980,후암로 71-1,202306~202506,신규,-,,
2,서울특별시 용산구 후암동,458,458,0,브라운스톤남산,전세,163.27,202306,1,85,000,0,4,2004,후암로 65,202307~202507,신규,-,,
3,서울특별시 용산구 후암동,423-1,423,1,후암미주,전세,63.44,202306,13,24,000,0,6,1980,후암로 71-1,202307~202507,신규,-,,
4,서울특별시 용산구 후암동,423-1,423,1,후암미주,전세,63.44,202306,13,24,000,0,6,1980,후암로 71-1,-,-,-,,
5,서울특별시 용산구 후암동,426,426,0,뉴후암,전세,34.74,202306,19,12,000,0,3,1973,후암로 71,202307~202507,신규,-,,
6,서울특별시 용산구 후암동,458,458,0,브라운스톤남산,전세,166.56,202306,24,75,000,0,4,2004,후암로 65,202310~202510,신규,-,,
7,서울특별시 용산구 후암동,244-91,244,91,힐튼빌리지1차,전세,100.83,202306,30,55,000,0,4,2002,후암로22길 29,202309~202509,신규,-,,
8,서울특별시 용산구 후암동,01월 10일,1,10,남산애지앙,전세,77.65,202307,2,40,000,0,2,2003,후암로34길 31-17,-,-,-,,
9,서울특별시 용산구 후암동,423-1,423,1,후암미주,월세,62.78,202307,14,5,000,110,3,1980,후암로 71-1,202308~202508,갱신,-,33,000,0
10,서울특별시 용산구 후암동,458,458,0,브라운스톤남산,전세,166.56,202307,18,66,000,0,5,2004,후암로 65,202309~202509,갱신,사용,63,000,0
11,서울특별시 용산구 후암동,244-5,244,5,행남그랜드,전세,149.71,202307,21,65,000,0,3,2004,후암로16가길 4,202308~202508,신규,-,,
12,서울특별시 용산구 후암동,423-1,423,1,후암미주,전세,62.28,202307,31,28,000,0,3,1980,후암로 71-1,202309~202509,신규,-,,
13,서울특별시 용산구 후암동,423-1,423,1,후암미주,월세,62.78,202308,6,20,000,48,5,1980,후암로 71-1,202310~202506,신규,-,,
14,서울특별시 용산구 후암동,423-1,423,1,후암미주,월세,62.78,202308,11,19,000,30,4,1980,후암로 71-1,202309~202509,신규,-,,
15,서울특별시 용산구 후암동,423-1,423,1,후암미주,전세,64.26,202308,11,27,300,0,5,1980,후암로 71-1,202309~202509,갱신,-,26,000,0
16,서울특별시 용산구 후암동,423-1,423,1,후암미주,월세,62.28,202308,16,15,000,50,2,1980,후암로 71-1,202309~202509,신규,-,,
17,서울특별시 용산구 후암동,458,458,0,브라운스톤남산,전세,166.56,202308,25,73,000,0,2,2004,후암로 65,202309~202509,갱신,-,71,000,0
18,서울특별시 용산구 후암동,423-1,423,1,후암미주,전세,63.31,202308,26,35,000,0,1,1980,후암로 71-1,202310~202510,신규,-,,
19,서울특별시 용산구 후암동,423-1,423,1,후암미주,전세,63.31,202309,9,26,000,0,1,1980,후암로 71-1,202309~202509,-,-,,
20,서울특별시 용산구 후암동,423-1,423,1,후암미주,월세,62.28,202309,12,19,000,30,2,1980,후암로 71-1,202310~202510,신규,-,,
21,서울특별시 용산구 후암동,423-1,423,1,후암미주,월세,62.28,202309,12,19,000,30,2,1980,후암로 71-1,202310~202510,신규,-,,
22,서울특별시 용산구 후암동,458,458,0,브라운스톤남산,월세,166.67,202309,16,53,000,170,3,2004,후암로 65,-,-,-,,
23,서울특별시 용산구 후암동,423-1,423,1,후암미주,월세,64.26,202309,18,10,000,80,5,1980,후암로 71-1,202310~202510,신규,-,,
24,서울특별시 용산구 후암동,244-90,244,90,명남아띠팰리스,전세,68.61,202309,25,45,000,0,2,2006,후암로16나길 20,202312~202512,신규,-,,
25,서울특별시 용산구 후암동,426,426,0,뉴후암,전세,44.3,202309,25,12,000,0,5,1973,후암로 71,202310~202510,신규,-,,
26,서울특별시 용산구 후암동,244-86,244,86,신후암,월세,49.03,202309,26,4,000,30,6,1971,후암로28길 10,-,-,-,,
27,서울특별시 용산구 후암동,423-1,423,1,후암미주,전세,63.44,202310,6,30,000,0,5,1980,후암로 71-1,202310~202510,신규,-,,
28,서울특별시 용산구 후암동,Jan-41,41,1,몬테피오레,전세,83.04,202310,17,40,000,0,3,2012,두텁바위로69길 29,202310~202510,갱신,-,38,000,0
29,서울특별시 용산구 후암동,423-1,423,1,후암미주,전세,62.28,202310,24,21,000,0,6,1980,후암로 71-1,202310~202510,신규,-,,
30,서울특별시 용산구 후암동,458,458,0,브라운스톤남산,전세,166.67,202311,20,85,000,0,4,2004,후암로 65,202402~202602,신규,-,,
31,서울특별시 용산구 후암동,143-23,143,23,삼안리치8차,전세,88.47,202312,4,40,000,0,4,2004,한강대로102다길 26,-,-,-,,
32,서울특별시 용산구 후암동,458,458,0,브라운스톤남산,전세,166.56,202312,16,75,000,0,4,2004,후암로 65,202403~202603,신규,-,,
33,서울특별시 용산구 후암동,423-1,423,1,후암미주,월세,62.28,202312,23,30,000,20,4,1980,후암로 71-1,-,-,-,,
34,서울특별시 용산구 후암동,423-1,423,1,후암미주,전세,64.26,202312,28,32,000,0,3,1980,후암로 71-1,202312~202512,신규,-,,
35,서울특별시 용산구 후암동,458,458,0,브라운스톤남산,월세,166.67,202401,2,40,000,190,1,2004,후암로 65,202402~202602,신규,-,,
36,서울특별시 용산구 후암동,244-88,244,88,힐튼빌리지2차,월세,157.37,202401,3,35,000,150,1,2002,후암로16나길 23,202402~202602,신규,-,,
37,서울특별시 용산구 후암동,458,458,0,브라운스톤남산,전세,166.56,202401,5,85,000,0,4,2004,후암로 65,202403~202803,신규,-,,
38,서울특별시 용산구 후암동,143-23,143,23,삼안리치8차,전세,73.92,202401,12,35,000,0,5,2004,한강대로102다길 26,202402~202602,신규,-,,
39,서울특별시 용산구 후암동,143-23,143,23,삼안리치8차,전세,73.92,202401,12,35,000,0,5,2004,한강대로102다길 26,202402~202602,신규,-,,
40,서울특별시 용산구 후암동,423-1,423,1,후암미주,전세,62.28,202401,13,30,000,0,3,1980,후암로 71-1,202403~202603,신규,-,,
41,서울특별시 용산구 후암동,143-23,143,23,삼안리치8차,전세,88.47,202401,22,40,000,0,4,2004,한강대로102다길 26,202402~202602,갱신,사용,47,000,0
42,서울특별시 용산구 후암동,Jan-41,41,1,몬테피오레,전세,81.28,202401,25,52,500,0,3,2012,두텁바위로69길 29,202402~202602,신규,-,,
43,서울특별시 용산구 후암동,423-1,423,1,후암미주,월세,62.28,202401,27,25,000,20,3,1980,후암로 71-1,202403~202603,신규,-,,
44,서울특별시 용산구 후암동,423-1,423,1,후암미주,월세,62.28,202401,27,25,000,20,3,1980,후암로 71-1,202403~202603,신규,-,,
45,서울특별시 용산구 후암동,Jan-41,41,1,몬테피오레,전세,82.06,202402,5,42,000,0,3,2012,두텁바위로69길 29,202402~202602,신규,-,,
46,서울특별시 용산구 후암동,458,458,0,브라운스톤남산,전세,166.67,202402,15,78,000,0,5,2004,후암로 65,202403~202603,신규,-,,
47,서울특별시 용산구 후암동,244-86,244,86,신후암,월세,61.85,202402,15,3,000,90,2,1971,후암로28길 10,202404~202603,신규,-,,
48,서울특별시 용산구 후암동,426,426,0,뉴후암,전세,42.98,202402,18,10,000,0,4,1973,후암로 71,202402~202602,신규,-,,
49,서울특별시 용산구 후암동,423-1,423,1,후암미주,전세,62.78,202402,20,28,000,0,6,1980,후암로 71-1,202403~202603,신규,-,,
50,서울특별시 용산구 후암동,458,458,0,브라운스톤남산,전세,166.56,202402,23,90,000,0,5,2004,후암로 65,202405~202605,신규,-,,
51,서울특별시 용산구 후암동,423-1,423,1,후암미주,월세,62.28,202402,24,1,000,85,3,1980,후암로 71-1,202602~202802,갱신,-,0,85
52,서울특별시 용산구 후암동,458,458,0,브라운스톤남산,전세,166.56,202403,1,72,000,0,4,2004,후암로 65,202404~202603,갱신,-,71,000,0
53,서울특별시 용산구 후암동,423-1,423,1,후암미주,전세,64.26,202403,4,30,000,0,4,1980,후암로 71-1,202403~202603,신규,-,,
54,서울특별시 용산구 후암동,423-1,423,1,후암미주,월세,63.31,202403,12,15,000,33,1,1980,후암로 71-1,202405~202605,갱신,-,2,000,80
55,서울특별시 용산구 후암동,423-1,423,1,후암미주,전세,62.28,202403,15,33,000,0,4,1980,후암로 71-1,202404~202604,신규,-,,
56,서울특별시 용산구 후암동,423-1,423,1,후암미주,전세,62.28,202403,17,33,000,0,3,1980,후암로 71-1,202405~202605,신규,-,,
57,서울특별시 용산구 후암동,423-1,423,1,후암미주,전세,62.78,202403,23,26,000,0,5,1980,후암로 71-1,202405~202605,갱신,사용,25,000,0
58,서울특별시 용산구 후암동,Jan-41,41,1,몬테피오레,전세,81.28,202404,3,52,500,0,3,2012,두텁바위로69길 29,202402~202602,신규,-,,
59,서울특별시 용산구 후암동,458,458,0,브라운스톤남산,전세,168.41,202404,3,95,000,0,1,2004,후암로 65,202404~202604,갱신,사용,95,000,0
60,서울특별시 용산구 후암동,423-1,423,1,후암미주,월세,63.31,202404,5,26,993,6,1,1980,후암로 71-1,202404~202604,갱신,-,26,993,0
61,서울특별시 용산구 후암동,438-7,438,7,제일,월세,48.99,202404,22,10,000,100,5,2004,후암로48길 16,202406~202606,신규,-,,
62,서울특별시 용산구 후암동,123-51,123,51,삼안리치10차,전세,88.71,202404,25,41,800,0,5,2005,한강대로104라길 21,202404~202604,갱신,-,39,800,0
63,서울특별시 용산구 후암동,426,426,0,뉴후암,월세,34.38,202404,25,7,000,20,5,1973,후암로 71,202404~202604,신규,-,,
64,서울특별시 용산구 후암동,423-1,423,1,후암미주,전세,62.28,202405,1,33,000,0,6,1980,후암로 71-1,202405~202605,신규,-,,
65,서울특별시 용산구 용산동2가,47-17,47,17,한신,전세,81.7,202307,13,43,000,0,8,1981,녹사평대로 245,202308~202508,신규,-,,
66,서울특별시 용산구 용산동2가,47-17,47,17,한신,월세,81.7,202307,17,1,000,60,4,1981,녹사평대로 245,202307~202507,신규,-,,
67,서울특별시 용산구 용산동2가,47-17,47,17,한신,월세,81.7,202307,25,2,000,160,3,1981,녹사평대로 245,202308~202508,신규,-,,
68,서울특별시 용산구 용산동2가,47-17,47,17,한신,월세,78.66,202308,9,2,000,160,1,1981,녹사평대로 245,202308~202508,신규,-,,
69,서울특별시 용산구 용산동2가,47-17,47,17,한신,전세,81.7,202308,13,40,000,0,8,1981,녹사평대로 245,202311~202511,신규,-,,
70,서울특별시 용산구 용산동2가,47-17,47,17,한신,전세,81.7,202308,13,40,000,0,8,1981,녹사평대로 245,202311~202511,신규,-,,
71,서울특별시 용산구 용산동2가,47-17,47,17,한신,전세,81.7,202308,15,40,000,0,5,1981,녹사평대로 245,-,-,-,,
72,서울특별시 용산구 용산동2가,May-47,47,5,용암한신,월세,72.66,202308,16,2,000,150,3,1982,신흥로2길 58,202309~202409,신규,-,,
73,서울특별시 용산구 용산동2가,47-17,47,17,한신,전세,78.43,202309,2,44,000,0,4,1981,녹사평대로 245,202310~202510,신규,-,,
74,서울특별시 용산구 용산동2가,47-17,47,17,한신,전세,78.43,202309,9,36,000,0,2,1981,녹사평대로 245,202310~202510,신규,-,,
75,서울특별시 용산구 용산동2가,May-47,47,5,용암한신,전세,67.93,202309,12,34,000,0,5,1982,신흥로2길 58,202311~202511,갱신,-,21,000,0
76,서울특별시 용산구 용산동2가,47-17,47,17,한신,전세,81.7,202309,16,45,000,0,7,1981,녹사평대로 245,202310~202510,신규,-,,
77,서울특별시 용산구 용산동2가,May-47,47,5,용암한신,월세,72.66,202309,20,1,000,94,7,1982,신흥로2길 58,202310~202510,신규,-,,
78,서울특별시 용산구 용산동2가,May-47,47,5,용암한신,월세,67.93,202309,22,2,000,150,4,1982,신흥로2길 58,202310~202510,신규,-,,
79,서울특별시 용산구 용산동2가,47-17,47,17,한신,월세,78.43,202310,17,1,500,125,2,1981,녹사평대로 245,202311~202511,신규,-,,
80,서울특별시 용산구 용산동2가,47-17,47,17,한신,전세,78.43,202310,25,40,000,0,7,1981,녹사평대로 245,202311~202511,갱신,-,47,000,0
81,서울특별시 용산구 용산동2가,47-17,47,17,한신,전세,81.7,202311,5,45,000,0,3,1981,녹사평대로 245,202402~202602,신규,-,,
82,서울특별시 용산구 용산동2가,47-17,47,17,한신,전세,81.7,202311,28,23,760,0,5,1981,녹사평대로 245,202312~202512,신규,-,,
83,서울특별시 용산구 용산동2가,47-17,47,17,한신,전세,81.7,202311,28,23,760,0,5,1981,녹사평대로 245,202312~202512,-,-,,
84,서울특별시 용산구 용산동2가,47-17,47,17,한신,전세,81.7,202312,16,50,000,0,2,1981,녹사평대로 245,202402~202602,신규,-,,
85,서울특별시 용산구 용산동2가,47-17,47,17,한신,월세,78.66,202312,19,2,000,160,1,1981,녹사평대로 245,202402~202602,신규,-,,
86,서울특별시 용산구 용산동2가,May-47,47,5,용암한신,전세,72.66,202312,30,42,000,0,5,1982,신흥로2길 58,202401~202601,갱신,사용,47,600,0
87,서울특별시 용산구 용산동2가,47-17,47,17,한신,월세,78.43,202401,30,2,000,105,4,1981,녹사평대로 245,202404~202609,신규,-,,
88,서울특별시 용산구 용산동2가,47-17,47,17,한신,전세,78.43,202401,31,45,000,0,3,1981,녹사평대로 245,202404~202603,신규,-,,
89,서울특별시 용산구 용산동2가,47-17,47,17,한신,전세,78.43,202401,31,45,000,0,3,1981,녹사평대로 245,-,-,-,,
90,서울특별시 용산구 용산동2가,47-17,47,17,한신,전세,81.7,202402,8,40,000,0,8,1981,녹사평대로 245,202403~202603,신규,-,,
91,서울특별시 용산구 용산동2가,May-47,47,5,용암한신,전세,72.66,202403,11,40,000,0,7,1982,신흥로2길 58,202404~202604,신규,-,,
92,서울특별시 용산구 용산동2가,May-47,47,5,용암한신,전세,72.66,202403,16,22,000,0,3,1982,신흥로2길 58,202405~202605,신규,-,,
