iter	RMSE
204	24999.9979
205	24958.29861
206	24926.14486
207	24880.48688
208	24828.10812
209	24802.37627
210	24778.68523
211	24758.62014
212	24732.8705
213	24703.30873
214	24690.17233
215	24669.78053
216	24634.58542
217	24614.72335
218	24595.85039
219	24581.59964
220	24528.20597
221	24513.2468
222	24493.68299
223	24461.82881
224	24446.90567
225	24433.83877
226	24425.20522
227	24410.54417
228	24362.39497
229	24336.45815
230	24307.99966
231	24292.43212
232	24270.53935
233	24245.22521
234	24239.57837
235	24201.86646
236	24168.88106
237	24161.4836
238	24128.03727
239	24112.49
240	24078.09796
241	24062.7948
242	24025.72039
243	23983.50386
244	23952.30156
245	23942.77123
246	23935.56319
247	23930.65639
248	23921.99046
249	23917.56613
250	23901.93208
251	23897.67855
252	23852.73681
253	23803.71533
254	23783.07698
255	23758.26872
256	23728.82595
257	23712.70266
258	23672.1619
259	23625.8534
260	23595.90202
261	23572.35071
262	23557.42736
263	23545.35113
264	23511.41457
265	23482.2703
266	23454.36348
267	23439.17689
268	23435.18415
269	23423.13236
270	23410.11253
271	23396.4557
272	23364.75747
273	23330.78106
274	23303.19007
275	23297.70468
276	23269.22483
277	23243.60229
278	23204.24188
279	23169.66098
280	23135.84628
281	23112.41224
282	23091.11693
283	23058.00889
284	23016.4994
285	23000.35572
286	22988.0103
287	22947.29802
288	22909.90893
289	22898.53164
290	22872.98473
291	22836.76738
292	22829.34142
293	22791.82512
294	22786.7137
295	22782.84906
296	22757.41683
297	22721.37817
298	22701.84839
299	22698.12505
300	22668.76949
301	22640.05892
302	22631.24158
303	22605.52496
304	22581.57079
305	22563.08783
306	22558.53641
307	22536.45619
308	22532.0646
309	22507.33181
310	22486.5297
311	22452.87134
312	22428.61037
313	22399.12051
314	22383.05147
315	22367.51268
316	22364.06942
317	22329.11285
318	22300.98721
319	22273.72062
320	22239.90339
321	22206.78899
322	22182.46144
323	22165.73772
324	22144.96776
325	22127.78546
326	22105.78695
327	22066.24137
328	22063.03967
329	22031.05754
330	22021.53967
331	21988.66601
332	21985.88961
333	21982.8448
334	21979.64001
335	21963.07248
336	21960.13896
337	21935.76447
338	21900.79785
339	21888.99045
340	21886.16041
341	21877.29012
342	21859.79385
343	21826.53464
344	21818.50581
345	21815.80185
346	21786.82078
347	21755.77628
348	21721.9208
349	21718.59948
350	21664.46159
351	21614.33266
352	21589.76815
353	21569.27794
354	21566.67989
355	21563.58712
356	21560.59172
357	21557.96528
358	21555.14095
359	21552.40413
360	21543.40321
361	21523.91201
362	21495.28029
363	21471.99876
364	21453.83576
365	21434.38568
366	21431.81499
367	21405.23298
368	21370.94514
369	21349.8491
370	21325.55886
371	21303.59714
372	21278.86032
373	21254.3053
374	21236.61265
375	21234.08062
376	21225.59283
377	21216.86207
378	21206.84136
379	21179.83213
380	21177.51551
381	21163.77448
382	21151.84133
383	21143.81327
384	21128.00639
385	21106.99278
386	21087.13766
387	21063.06688
388	21034.39779
389	21012.72571
390	20997.73359
391	20971.40046
392	20958.48227
393	20922.25156
394	20901.68033
395	20900.06651
396	20893.03818
397	20886.47388
398	20879.93414
399	20857.69525
400	20848.03064
401	20818.55932
402	20816.6217
403	20802.83557
404	20764.50225
405	20762.62527
406	20732.57559
407	20721.92313
408	20691.59072
409	20667.09392
410	20652.15831
411	20623.32451
412	20621.61478
413	20619.83963
414	20618.11358
415	20616.435
416	20587.75555
417	20563.68135
418	20562.04859
419	20541.17329
420	20539.57129
421	20508.6686
422	20482.64643
423	20466.06898
424	20446.75621
425	20445.33322
426	20424.61247
427	20402.658
428	20353.86214
429	20335.90443
430	20334.36591
431	20316.08116
432	20314.60784
433	20313.17371
434	20293.77726
435	20265.44195
436	20247.63812
437	20231.3696
438	20210.506
439	20209.10353
440	20180.39261
441	20163.06684
442	20132.70865
443	20116.04204
444	20088.61206
445	20075.03354
446	20061.90637
447	20034.43991
448	20007.60828
449	19989.55058
450	19978.66431
451	19953.83864
452	19929.95759
453	19921.41277
454	19903.22527
455	19885.93636
456	19873.42759
457	19855.81685
458	19839.17292
459	19823.0677
460	19803.82421
461	19793.4131
462	19768.46564
463	19749.47269
464	19745.09661
465	19743.84209
466	19716.31008
467	19714.56206
468	19703.28868
469	19687.54735
470	19655.50135
471	19639.67618
472	19619.10081
473	19611.95376
474	19598.88507
475	19581.4435
476	19565.64244
477	19551.06082
478	19531.58934
479	19516.78836
480	19507.76923
481	19483.66453
482	19464.35922
483	19453.3806
484	19440.09054
485	19428.36652
486	19416.75382
487	19402.10936
488	19384.02757
489	19367.59051
490	19339.73359
491	19322.35601
492	19291.6659
493	19270.60813
494	19250.48463
495	19232.72223
496	19205.24036
497	19196.56178
498	19188.27581
499	19179.89815
500	19153.01296
501	19132.04279
502	19123.72529
503	19110.97356
504	19100.55573
505	19079.45501
506	19060.05774
507	19010.10544
508	19004.91977
509	18977.74433
510	18961.46624
511	18946.92951
512	18946.04015
513	18932.39336
514	18919.17742
515	18894.47769
516	18871.40318
517	18870.3376
518	18846.87078
519	18825.05023
520	18810.4437
521	18799.79229
522	18784.17188
523	18743.87374
524	18719.12804
525	18713.19015
526	18702.11399
527	18686.52772
528	18685.05109
529	18670.6335
530	18648.21952
531	18623.90744
532	18598.96491
533	18597.93217
534	18593.89425
535	18572.80843
536	18565.99255
537	18537.68202
538	18518.19448
539	18510.58732
540	18493.27054
541	18476.63255
542	18463.30838
543	18450.60138
544	18430.82476
545	18409.05338
546	18390.8715
547	18377.421
548	18364.12608
549	18362.73109
550	18348.1109
551	18337.29777
552	18326.47299
553	18293.40474
554	18282.52959
555	18273.49601
556	18255.16283
557	18243.30288
558	18217.10453
559	18195.11606
560	18194.12251
561	18168.91615
562	18156.88877
563	18144.04726
564	18132.89894
565	18120.51045
566	18095.56497
567	18069.55862
568	18056.00295
569	18043.59721
570	18010.99455
571	18000.68044
572	17999.75871
573	17978.56856
574	17973.37023
575	17936.76968
576	17920.46222
577	17913.93413
578	17903.47194
579	17894.70777
580	17893.662
581	17892.78085
582	17885.32327
583	17864.47461
584	17852.50823
585	17846.76126
586	17845.97372
587	17836.17949
588	17821.12437
589	17820.28735
590	17819.46924
591	17809.64272
592	17785.60817
593	17777.4748
594	17764.40402
595	17763.61613
596	17731.08572
597	17705.15607
598	17674.20346
599	17652.17029
600	17632.69558
601	17623.65071
602	17605.75669
603	17595.78883
604	17587.74957
605	17577.50723
606	17561.81921
607	17547.36374
608	17536.85101
609	17528.02635
610	17517.64435
611	17507.0966
612	17487.41812
613	17470.17117
614	17447.87265
615	17437.00056
616	17436.32528
617	17433.20758
618	17418.64413
619	17395.91014
620	17379.83801
621	17375.59901
622	17371.43857
623	17346.54434
624	17334.60844
625	17324.76316
626	17308.64863
627	17293.08485
628	17279.61924
629	17276.35154
630	17263.97288
631	17252.77284
632	17235.95396
633	17235.09671
634	17212.74169
635	17189.43191
636	17169.54961
637	17141.06959
638	17138.43134
639	17133.87242
640	17133.17821
641	17116.29564
642	17096.38573
643	17087.12318
644	17059.41043
645	17048.97969
646	17036.93937
647	17036.28607
648	17017.36546
649	17008.73074
650	16996.92321
651	16990.31642
652	16982.3097
653	16981.45338
654	16970.60163
655	16956.62022
656	16953.25868
657	16936.52447
658	16925.155
659	16920.24337
660	16909.1215
661	16887.95734
662	16868.67275
663	16848.53016
664	16844.14771
665	16828.83596
666	16817.00592
667	16801.97452
668	16787.24044
669	16776.50103
670	16747.23204
671	16735.79014
672	16712.41876
673	16711.61236
674	16707.9316
675	16698.68264
676	16670.74341
677	16656.40407
678	16639.12262
679	16627.08944
680	16612.06356
681	16603.34689
682	16591.91553
683	16583.08674
684	16570.9616
685	16558.29435
686	16550.40279
687	16536.04615
688	16528.59442
689	16514.64386
690	16493.07848
691	16484.73785
692	16478.81228
693	16465.2194
694	16457.81786
695	16444.30717
696	16428.67299
697	16420.87543
698	16414.68077
699	16414.10882
700	16393.01766
701	16372.96944
702	16349.53834
703	16338.4671
704	16314.53553
705	16296.46991
706	16291.31933
707	16290.76147
708	16285.21574
709	16284.673
710	16278.12644
711	16274.90566
712	16266.64409
713	16247.56747
714	16241.95367
715	16224.52767
716	16209.33318
717	16207.55422
718	16191.57141
719	16184.71376
720	16177.02733
721	16169.36106
722	16156.86754
723	16143.63437
724	16130.82571
725	16121.65246
726	16114.35172
727	16113.91754
728	16105.47141
729	16094.18292
730	16085.58934
731	16079.85018
732	16070.12254
733	16066.53416
734	16054.34068
735	16043.3689
736	16033.00577
737	16025.16964
738	16024.76463
739	16019.77908
740	16017.04313
741	16007.33202
742	16004.30341
743	15983.11128
744	15968.12001
745	15948.03333
746	15932.23168
747	15924.6781
748	15902.0583
749	15886.73511
750	15879.27192
751	15876.8953
752	15871.75016
753	15863.51705
754	15844.81667
755	15811.335
756	15802.37667
757	15792.38753
758	15789.07934
759	15787.55405
760	15765.23112
761	15764.5242
762	15758.14573
763	15746.55011
764	15745.50242
765	15714.24409
766	15713.77691
767	15702.86317
768	15696.45452
769	15682.79126
770	15666.79294
771	15659.73995
772	15652.86547
773	15636.8299
774	15626.27301
775	15621.36321
776	15601.09735
777	15587.88194
778	15582.75972
779	15579.64111
780	15563.00871
781	15540.71758
782	15536.73052
783	15511.10771
784	15510.45051
785	15503.98238
786	15494.98681
787	15483.39741
788	15482.94742
789	15466.02339
790	15450.74388
791	15438.66756
792	15436.90884
793	15416.31226
794	15415.8339
795	15412.44064
796	15394.56095
797	15386.10938
798	15383.27293
799	15378.81498
800	15367.08281
801	15354.77778
802	15344.06197
803	15337.3515
804	15330.32007
805	15316.03559
806	15301.32369
807	15293.94355
808	15287.37668
809	15282.1698
810	15267.2585
811	15263.42872
812	15254.49885
813	15248.79327
814	15243.75099
815	15227.60285
816	15215.96453
817	15207.40367
818	15195.58787
819	15187.69015
820	15172.81851
821	15172.37594
822	15161.12222
823	15151.88435
824	15145.72697
825	15138.99969
826	15122.97888
827	15116.24981
828	15104.36344
829	15094.42937
830	15092.3541
831	15088.00009
832	15087.57093
833	15073.52382
834	15061.45682
835	15041.84794
836	15027.80049
837	15017.30508
838	15004.69917
839	15000.46589
840	14988.28008
841	14979.28161
842	14974.73159
843	14968.96942
844	14958.83208
845	14957.28602
846	14945.13779
847	14943.47846
848	14936.348
849	14927.94502
850	14925.92005
851	14918.48809
852	14911.9169
853	14907.49071
854	14904.11416
855	14893.38387
856	14881.7184
857	14874.82652
858	14871.80882
859	14867.59293
860	14865.09906
861	14853.61867
862	14851.67068
863	14843.98677
864	14842.38541
865	14827.70016
866	14815.17141
867	14812.50153
868	14805.82221
869	14800.43454
870	14794.45636
871	14784.26172
872	14777.16233
873	14770.19018
874	14756.35673
875	14734.73533
876	14720.47094
877	14708.81508
878	14701.32513
879	14687.63471
880	14670.84087
881	14666.4755
882	14653.56949
883	14635.15498
884	14622.75538
885	14613.24551
886	14601.13546
887	14595.93394
888	14585.29026
889	14579.30259
890	14576.91011
891	14565.02572
892	14559.19096
893	14552.90024
894	14543.3742
895	14536.37802
896	14529.91027
897	14522.34526
898	14516.17668
899	14502.50006
900	14495.01006
901	14484.07597
902	14476.64198
903	14465.86578
904	14463.64349
905	14458.72965
906	14452.54067
907	14436.24775
908	14428.30382
909	14413.86253
910	14403.22479
911	14400.08244
912	14396.74914
913	14393.85428
914	14383.45951
915	14374.13181
916	14358.5363
917	14348.97642
918	14337.72881
919	14335.30711
920	14320.69566
921	14315.0781
922	14311.04303
923	14302.54308
924	14298.30298
925	14284.49347
926	14272.56721
927	14263.28933
928	14250.74656
929	14247.39709
930	14242.97387
931	14240.81597
932	14226.50999
933	14213.74202
934	14204.14262
935	14200.18135
936	14195.12014
937	14190.99335
938	14187.91866
939	14178.82004
940	14173.25206
941	14159.59441
942	14153.37771
943	14142.76768
944	14139.44793
945	14131.36794
946	14130.0045
947	14128.63866
948	14115.98239
949	14102.38889
950	14096.24947
951	14082.32627
952	14075.57201
953	14075.00213
954	14057.43872
955	14053.17784
956	14049.88653
957	14043.30668
958	14037.37161
959	14033.73368
960	14027.61442
961	14002.80186
962	13997.29239
963	13994.15267
964	13985.98857
965	13973.52436
966	13965.64009
967	13957.47942
968	13954.07106
969	13948.66321
970	13944.64089
971	13938.74392
972	13932.75136
973	13931.12828
974	13927.78016
975	13925.09652
976	13910.90133
977	13898.6726
978	13887.27477
979	13874.95285
980	13869.83756
981	13859.9267
982	13856.55516
983	13851.17506
984	13834.83323
985	13825.46053
986	13823.74883
987	13813.64618
988	13804.35814
989	13794.2015
990	13781.89419
991	13776.76581
992	13768.80474
993	13763.46855
994	13761.37594
995	13748.81781
996	13743.90554
997	13737.25672
998	13733.76465
999	13729.22697
